127.0.0.1 - - [26/Mar/2023:18:29:34 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:29:34 +0530] "GET /FraudApps/Home.jsp HTTP/1.1" 200 2994
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:29:34 +0530] "GET /FraudApps/assets/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:29:34 +0530] "GET /FraudApps/assets/js/jquery.quicksand.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:29:34 +0530] "GET /FraudApps/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:29:34 +0530] "GET /FraudApps/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:29:34 +0530] "GET /FraudApps/assets/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:29:34 +0530] "GET /FraudApps/assets/css/patros.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:29:34 +0530] "GET /FraudApps/assets/images/c.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:29:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:29:59 +0530] "GET /FraudApps/UserLogin.jsp HTTP/1.1" 200 4445
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:30:29 +0530] "POST /FraudApps/UserLoginController HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:30:31 +0530] "GET /FraudApps/UserHome.jsp HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:30:31 +0530] "GET /FraudApps/assets/images/a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:30:32 +0530] "GET /FraudApps/AspectSearch.jsp HTTP/1.1" 404 746
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:30:42 +0530] "POST /FraudApps/UserLoginController HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:30:44 +0530] "GET /FraudApps/UserHome.jsp HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:30:46 +0530] "GET /FraudApps/AspectSearch.jsp HTTP/1.1" 404 746
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:30:53 +0530] "GET /FraudApps/AdminLogin.jsp HTTP/1.1" 200 4373
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:31:10 +0530] "POST /FraudApps/AdminLoginController HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:31:12 +0530] "GET /FraudApps/AdminLogin.jsp HTTP/1.1" 200 4373
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:31:26 +0530] "POST /FraudApps/AdminLoginController HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:31:28 +0530] "GET /FraudApps/AdminHome.jsp HTTP/1.1" 200 3252
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:31:28 +0530] "GET /FraudApps/assets/images/admin.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:31:33 +0530] "GET /FraudApps/ViewUsers.jsp HTTP/1.1" 200 8661
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:31:33 +0530] "GET /FraudApps/profilepic.jsp?id=7 HTTP/1.1" 200 231458
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:31:33 +0530] "GET /FraudApps/profilepic.jsp?id=2 HTTP/1.1" 200 10076
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:31:33 +0530] "GET /FraudApps/profilepic.jsp?id=8 HTTP/1.1" 200 238581
0:0:0:0:0:0:0:1 - - [26/Mar/2023:18:31:33 +0530] "GET /FraudApps/profilepic.jsp?id=4 HTTP/1.1" 200 202764
